agents,games,rounds,rating,acs,k/d,adr,kast,kpr,apr,fkpr,fdpr,kills,deaths,assists,first bloods,first deaths,Player Name,URL
skye,(29) 21%,634,0.90,153.4,0.80,101.6,75%,0.54,0.49,0.04,0.06,340,425,313,26,41,Sekkya,https://www.vlr.gg/player/29132/sekkya?timespan=all
kayo,(25) 18%,485,0.93,161.6,0.79,105.1,74%,0.54,0.62,0.04,0.08,260,329,303,20,39,Sekkya,https://www.vlr.gg/player/29132/sekkya?timespan=all
killjoy,(16) 12%,316,0.86,167.7,0.89,114.9,68%,0.58,0.14,0.07,0.07,182,204,44,22,22,Sekkya,https://www.vlr.gg/player/29132/sekkya?timespan=all
,,,,,,,,,,,,,,,,,kikowo,https://www.vlr.gg/player/45078/kikowo?timespan=all
jett,(8) 20%,162,0.85,215.9,0.91,139.8,60%,0.74,0.14,0.17,0.19,120,132,22,28,31,kikowo,https://www.vlr.gg/player/45078/kikowo?timespan=all
breach,(6) 15%,120,1.01,201.2,0.93,127.1,73%,0.66,0.56,0.06,0.09,79,85,67,7,11,kikowo,https://www.vlr.gg/player/45078/kikowo?timespan=all
raze,(5) 13%,107,1.18,260.2,1.20,179.6,66%,0.92,0.22,0.14,0.14,98,82,24,15,15,kikowo,https://www.vlr.gg/player/45078/kikowo?timespan=all
,,,,,,,,,,,,,,,,,Zaki,https://www.vlr.gg/player/20500/zaki?timespan=all
raze,(55) 49%,1088,1.12,243.3,1.14,160.6,74%,0.83,0.25,0.17,0.15,901,792,272,181,159,Zaki,https://www.vlr.gg/player/20500/zaki?timespan=all
chamber,(9) 8%,182,0.96,185.0,0.93,125.0,63%,0.69,0.19,0.09,0.11,126,136,34,17,20,Zaki,https://www.vlr.gg/player/20500/zaki?timespan=all
viper,(8) 7%,186,0.87,167.6,0.83,108.4,67%,0.56,0.26,0.05,0.05,105,127,48,9,10,Zaki,https://www.vlr.gg/player/20500/zaki?timespan=all
,,,,,,,,,,,,,,,,,Mel,https://www.vlr.gg/player/19791/mel?timespan=all
sova,(127) 43%,2549,1.12,199.2,1.16,134.8,75%,0.71,0.32,0.06,0.05,1799,1555,806,156,135,Mel,https://www.vlr.gg/player/19791/mel?timespan=all
sage,(38) 13%,724,1.06,186.6,1.11,120.6,76%,0.69,0.38,0.07,0.08,501,451,274,48,55,Mel,https://www.vlr.gg/player/19791/mel?timespan=all
fade,(34) 12%,684,1.08,193.0,1.20,123.4,75%,0.71,0.31,0.07,0.08,484,403,214,50,52,Mel,https://www.vlr.gg/player/19791/mel?timespan=all
,,,,,,,,,,,,,,,,,crona,https://www.vlr.gg/player/20222/crona?timespan=all
killjoy,(35) 38%,712,1.08,206.5,1.14,138.9,69%,0.75,0.15,0.07,0.06,534,467,104,53,46,crona,https://www.vlr.gg/player/20222/crona?timespan=all
viper,(24) 26%,519,1.21,241.4,1.32,154.5,73%,0.85,0.20,0.14,0.07,443,335,103,72,36,crona,https://www.vlr.gg/player/20222/crona?timespan=all
cypher,(18) 20%,356,1.06,209.9,1.14,140.2,67%,0.76,0.19,0.12,0.09,269,237,69,41,32,crona,https://www.vlr.gg/player/20222/crona?timespan=all
,,,,,,,,,,,,,,,,,avery,https://www.vlr.gg/player/17950/avery?timespan=all
sova,(67) 17%,1343,1.19,212.6,1.21,144.6,78%,0.72,0.38,0.07,0.05,969,804,513,96,73,avery,https://www.vlr.gg/player/17950/avery?timespan=all
astra,(56) 14%,1072,1.17,202.3,1.28,132.2,79%,0.74,0.35,0.08,0.05,791,619,379,83,56,avery,https://www.vlr.gg/player/17950/avery?timespan=all
omen,(40) 10%,799,1.09,197.3,1.12,127.1,78%,0.70,0.44,0.07,0.07,556,496,353,55,56,avery,https://www.vlr.gg/player/17950/avery?timespan=all
,,,,,,,,,,,,,,,,,mae,https://www.vlr.gg/player/33091/mae?timespan=all
omen,(14) 16%,290,0.89,159.4,0.86,99.8,74%,0.58,0.41,0.07,0.05,168,196,120,19,14,mae,https://www.vlr.gg/player/33091/mae?timespan=all
kayo,(14) 16%,281,0.92,147.6,0.78,97.8,70%,0.52,0.50,0.04,0.05,145,187,140,11,13,mae,https://www.vlr.gg/player/33091/mae?timespan=all
killjoy,(14) 16%,255,1.10,207.6,1.12,143.4,75%,0.72,0.19,0.07,0.05,183,164,48,19,14,mae,https://www.vlr.gg/player/33091/mae?timespan=all
,,,,,,,,,,,,,,,,,bes,https://www.vlr.gg/player/25391/bes?timespan=all
omen,(55) 37%,1115,1.03,196.8,1.00,127.7,72%,0.69,0.42,0.07,0.08,769,769,464,82,92,bes,https://www.vlr.gg/player/25391/bes?timespan=all
astra,(28) 19%,535,1.10,196.8,1.12,127.3,74%,0.69,0.37,0.09,0.08,370,330,197,48,42,bes,https://www.vlr.gg/player/25391/bes?timespan=all
skye,(27) 18%,539,0.96,181.7,0.91,116.9,75%,0.63,0.48,0.08,0.06,339,371,257,43,30,bes,https://www.vlr.gg/player/25391/bes?timespan=all
,,,,,,,,,,,,,,,,,noze,https://www.vlr.gg/player/30240/noze?timespan=all
killjoy,(36) 52%,748,1.15,215.8,1.24,146.7,73%,0.78,0.14,0.09,0.07,580,467,101,68,53,noze,https://www.vlr.gg/player/30240/noze?timespan=all
cypher,(13) 19%,247,1.03,186.8,1.05,130.6,68%,0.72,0.15,0.07,0.08,178,169,37,18,20,noze,https://www.vlr.gg/player/30240/noze?timespan=all
viper,(7) 10%,147,1.43,243.7,1.64,163.9,77%,0.90,0.25,0.10,0.02,133,81,37,14,3,noze,https://www.vlr.gg/player/30240/noze?timespan=all
